sample;label
Estou muito satisfeito com a minha promoção e aumento de salário.; positive
A empresa em que trabalho não valoriza os funcionários, estou desanimado.; negative
Estou empolgado com as oportunidades de crescimento que a empresa oferece.; positive
Não consigo conciliar o trabalho com minha vida pessoal, estou sempre cansado.; negative
Estou ansioso para participar de novos projetos desafiadores na empresa.; positive
As condições de trabalho na minha empresa são péssimas, estou insatisfeito.; negative
Meus colegas de trabalho são muito prestativos e me ajudam a crescer profissionalmente.; positive
Meu chefe é um tirano, estou pensando em procurar um novo emprego.; negative
A empresa investe em treinamentos e capacitação dos funcionários, estou motivado.; positive
Não vejo perspectivas de crescimento na minha área de atuação, estou desanimado.; negative
Estou feliz com a estabilidade que meu emprego me proporciona.; positive
Meu salário é baixo e não condiz com a quantidade de trabalho que realizo.; negative
A empresa me proporciona um ambiente de trabalho agradável e amigável.; positive
Sinto que estou estagnado na minha carreira, não tenho oportunidades de crescimento.; negative
Estou confiante de que meus esforços serão recompensados no futuro.; positive
As políticas da empresa são injustas, não há igualdade de oportunidades.; negative
Estou motivado para buscar novas qualificações e aprimorar minhas habilidades.; positive
Não tenho reconhecimento pelo trabalho que faço, me sinto desvalorizado.; negative
Meu trabalho é gratificante e me traz satisfação pessoal.; positive
Não me identifico com os valores da empresa, estou pensando em pedir demissão.; negative
Tenho uma ótima relação com meus colegas de trabalho, somos uma equipe unida.; positive
Não sou valorizado pelos meus superiores, mesmo me esforçando bastante.; negative
Estou feliz com as oportunidades de aprendizado que a empresa me proporciona.; positive
Sou sobrecarregado de trabalho e não consigo lidar com a pressão.; negative
Tenho uma boa relação com meu chefe, ele me dá autonomia para tomar decisões.; positive
Meu ambiente de trabalho é tóxico, isso está prejudicando minha saúde mental.; negative
Estou confiante de que meu trabalho está fazendo a diferença na empresa.; positive
Não tenho suporte da empresa para desenvolver minhas habilidades profissionais.; negative
Odeio dias quentes com sol; negative
Tenho boas memórias de infância.; positive
As memórias da minha adolescência são incríveis.; positive
Lembro-me com carinho da primeira vez que viajei sozinho.; positive
As memórias dos momentos com meus amigos são maravilhosas.; positive
Ainda guardo memórias das férias de verão na praia.; positive
Tenho memórias felizes dos encontros em família.; positive
Tenho lembranças positivas dos meus anos de faculdade.; positive
Guardo memórias especiais dos passeios ao ar livre.; positive
Lembro-me com alegria do meu casamento.; positive
As memórias dos jogos de futebol são emocionantes.; positive
Tenho lembranças adoráveis das festas de aniversário.; positive
Ainda tenho memórias vívidas da minha formatura.; positive
Lembro-me com satisfação dos momentos de superação.; positive
As memórias de viagens ao exterior são enriquecedoras.; positive
Guardo memórias positivas dos momentos de risadas com amigos.; positive
Tenho boas lembranças de quando aprendi a tocar um instrumento.; positive
Lembro-me com gratidão dos momentos de conquistas pessoais.; positive
As memórias das festas de fim de ano são divertidas.; positive
Tenho memórias felizes de quando fui promovido no trabalho.; positive
Guardo com carinho as memórias das viagens em família.; positive
Tenho lembranças alegres dos jantares românticos com meu parceiro.; positive
Lembro-me com entusiasmo das aventuras que vivi na juventude.; positive
As memórias dos encontros com amigos são reconfortantes.; positive
Tenho boas lembranças de quando realizei um sonho pessoal.; positive
Lembro-me com prazer dos momentos de relaxamento e descanso.; positive
As memórias das experiências culturais são enriquecedoras.; positive
Tenho memórias importantes dos momentos de apoio da família.; positive
Guardo com saudade as memórias dos tempos de escola.; positive
Tenho lembranças positivas dos momentos de confraternização.; positive
Lembro-me com alegria dos momentos de diversão e lazer.; positive
Tenho memórias tristes da perda de um ente querido.; negative
As memórias dos momentos de decepção são amargas.; negative
Lembro-me com tristeza dos momentos de fim de relacionamentos.; negative
Tenho memórias negativas dos momentos de bullying na infância.; negative
As memórias dos acidentes que vivi são assustadoras.; negative
Tenho lembranças dolorosas dos momentos de fracasso.; negative
Lembro-me com pesar dos traumas que sofri na adolescência.; negative
As memórias das separações são dolorosas.; negative
Tenho memórias tristes dos momentos de solidão.; negative
Lembro-me com amargura dos momentos de despedida.; negative
As memórias dos momentos de doença são difíceis.; negative
Tenho lembranças negativas dos momentos de rejeição.; negative
Lembro-me com angústia dos momentos de conflito familiar.; negative
Tenho memórias ruins dos momentos de desastre natural.; negative
As memórias dos meus erros passados me assombram.; negative
Lembro-me com tristeza dos momentos de abuso.; negative
Tenho memórias negativas dos momentos de humilhação.; negative
Lembro-me com arrependimento dos momentos de procrastinação.; negative
As memórias das perdas financeiras são dolorosas.; negative
Estou muito feliz hoje; positive
Essa comida está deliciosa; positive
Adorei passar o dia com meus amigos; positive
O filme foi incrível; positive
Ganhei na loteria; positive
Estou me sentindo animado para o futuro; positive
Adoro o cheiro de rosas; positive
Essa viagem foi maravilhosa; positive
Consegui um aumento de salário; positive
Estou me divertindo muito; positive
Nunca mais quero passar por isso; negative
Essa notícia me deixou triste; negative
O resultado do exame não foi como esperado; negative
Estou me sentindo desmotivado; negative
Perdi meu emprego; negative
Não consigo lidar com essa situação; negative
Meu dia está sendo horrível; negative
O trânsito está um caos hoje; negative
Estou me sentindo cansado e sem energia; negative
Fui enganado por um amigo; negative
O serviço no restaurante foi péssimo; negative
Não gostei do final do livro; negative
Estou decepcionado com essa situação; negative
Perdi um ente querido; negative
Não me sinto valorizado no trabalho; negative
Estou me sentindo sobrecarregado; negative
Essa dor nas costas está insuportável; negative
Sinto que estou perdendo tempo; negative
Que dia chato; negative
Meu carro estragou novamente; negative
Estou me sentindo sozinho e triste; negative
Não consigo encontrar motivação; negative
Perdi a paciência com essa situação; negative
Meu time perdeu o jogo; negative
Não gostei dessa nova música; negative
Estou me sentindo frustrado; negative
Acabei de perder meu celular; negative
As coisas não estão saindo como planejado; negative
Estou me sentindo ansioso e estressado; negative
Não gostei do atendimento nesse lugar; negative
Faço exercícios regularmente.; positive
Estou me sentindo ótimo após a minha corrida matinal.; positive
Acredito que uma alimentação saudável faz toda a diferença.; positive
Meu check-up médico mostrou resultados positivos.; positive
Meus níveis de energia estão elevados desde que comecei a me cuidar mais.; positive
Consegui perder 5 quilos e estou me sentindo mais leve.; positive
Estou dormindo melhor e acordando revigorado todas as manhãs.; positive
Minha pressão arterial está controlada graças aos medicamentos.; positive
A terapia tem me ajudado a lidar melhor com o estresse.; positive
Sou grato(a) por ter acesso a um sistema de saúde eficiente.; positive
Estou me recuperando bem após a cirurgia.; positive
Fui elogiado(a) pelo meu médico pela melhoria na minha saúde.; positive
Minha mente está mais clara e focada depois que comecei a meditar.; positive
Finalmente parei de fumar e sinto minha respiração melhorar a cada dia.; positive
Estou me sentindo renovado(a) depois de um fim de semana de spa.; positive
Meus exames de sangue mostraram que estou com ótimos índices de vitaminas.; positive
Minha pele está mais saudável graças aos produtos naturais que estou usando.; positive
Tomei todas as vacinas necessárias para prevenir doenças.; positive
Estou me sentindo mais forte e com mais resistência física.; positive
Não preciso mais tomar remédios para a minha alergia.; positive
Estou mantendo uma dieta equilibrada e me sinto satisfeito(a) com os resultados.; positive
Meus músculos estão mais tonificados após frequentar a academia regularmente.; positive
Consegui diminuir meus níveis de colesterol com uma alimentação saudável.; positive
Estou feliz por ter um suporte médico adequado durante o tratamento.; positive
Minha disposição aumentou depois que comecei a tomar suplementos vitamínicos.; positive
Estou me sentindo menos ansioso(a) desde que comecei a praticar ioga.; positive
Minhas dores nas costas diminuíram graças à fisioterapia.; positive
Estou conseguindo manter meu peso ideal com exercícios e uma boa alimentação.; positive
Tenho conseguido dormir a quantidade de horas recomendada.; positive
Meus exames de sangue indicaram melhora nas taxas de açúcar.; positive
Meu médico me parabenizou por ter hábitos saudáveis.; positive
Estou conseguindo controlar minha ansiedade através da prática de mindfulness.; positive
Minha autoestima melhorou depois que comecei a cuidar da minha saúde mental.; positive
Meu cabelo está mais brilhante e saudável após começar a usar produtos naturais.; positive
Meus músculos estão menos tensos desde que comecei a fazer alongamento diariamente.; positive
Estou satisfeito(a) com a qualidade do atendimento médico que tenho recebido.; positive
Minha pressão arterial tem se mantido estável sem a necessidade de medicação.; positive
Estou me sentindo com mais disposição para enfrentar as tarefas do dia a dia.; positive
Meus exames de rotina mostraram que estou com a saúde em dia.; positive
Estou me concentrando em manter uma mente positiva para melhorar minha saúde em geral.; positive
Sinto dores constantes nas costas que têm limitado a minha rotina.; negative
Estou com febre e me sentindo bastante fraco(a).; negative
O resultado dos meus exames não foi satisfatório.; negative
Eu amo estudar e aprender coisas novas.; positive
As aulas são muito entediantes e cansativas.; negative
Eu gosto de fazer trabalhos em grupo, pois aprendo bastante.; positive
Os professores não são muito bons em explicar os conteúdos.; negative
Consegui uma ótima nota na prova de matemática!; positive
Tenho dificuldade em entender física.; negative
Estou animado para entrar na faculdade.; positive
O sistema de avaliação da escola não é justo.; negative
A educação é um direito fundamental de todos.; positive
A escola não oferece recursos suficientes para aulas práticas.; negative
Estou aprendendo bastante com esse livro.; positive
As aulas online são muito monótonas.; negative
Gosto de participar de eventos acadêmicos.; positive
A falta de material didático afeta meu aprendizado.; negative
Minha professora é muito atenciosa e prestativa.; positive
A escola não oferece suporte adequado aos alunos com necessidades especiais.; negative
Os debates em sala de aula são muito interessantes.; positive
Tenho dificuldades em memorizar datas para as provas.; negative
A educação é a chave para um futuro melhor.; positive
Os horários das aulas são muito desorganizados.; negative
Meus colegas de classe são muito prestativos e solidários.; positive
A biblioteca da escola é muito desatualizada.; negative
Sinto-me motivado a estudar todas as matérias.; positive
As provas são muito difíceis e mal elaboradas.; negative
Gosto de explorar diferentes áreas de estudo.; positive
Nem todos os professores são comprometidos com o ensino.; negative
Estou ansioso para aprender sobre o novo assunto em aula.; positive
Os laboratórios da faculdade são bem equipados.; positive
O sistema de ensino precisa passar por mudanças significativas.; negative
Aprendo muito com as experiências práticas.; positive
Os materiais didáticos são caros e de má qualidade.; negative
Gosto de estudar em grupo para trocar conhecimentos.; positive
Os métodos de avaliação são muito subjetivos.; negative
Estou aproveitando ao máximo minha vida acadêmica.; positive
As disciplinas são muito cansativas e sem sentido.; negative
A educação é o caminho para um futuro promissor.; positive
A relação professor-aluno é muito distante e fria.; negative
Adoro participar de palestras e workshops educacionais.; positive
Os projetos escolares são pouco desafiadores.; negative
Sinto-me realizado quando aprendo algo novo.; positive
As escolas deveriam oferecer mais atividades extracurriculares.; negative
Ela é tudo para mim, o amor da minha vida.; positive
Ele me magoou profundamente, não esperava por isso.; negative
Nosso relacionamento é cheio de amor e carinho.; positive
Não tenho mais interesse em me envolver emocionalmente.; negative
Passamos momentos incríveis juntos, sempre nos divertimos.; positive
Ele sempre me ignora quando estamos em um grupo.; negative
Cada dia ao seu lado é um sonho realizado.; positive
Ela vive me criticando, não consigo mais suportar.; negative
Temos uma conexão especial e única.; positive
Todos os meus amigos elogiam nossa relação.; positive
Ela não se importa com meus sentimentos.; negative
Nossos encontros são sempre cheios de alegria e paixão.; positive
Ele não me apoia nos meus sonhos e objetivos.; negative
Somos perfeitos um para o outro.; positive
Ela mentiu para mim, isso abalou nossa confiança.; negative
Nossos momentos juntos sempre são inesquecíveis.; positive
Ela sempre cancela nossos planos de última hora.; negative
Amor é o que sinto por você.; positive
Ele não se esforça para manter nosso relacionamento vivo.; negative
Juntos, enfrentamos todos os obstáculos.; positive
Ela nunca está presente quando mais preciso dela.; negative
Encontrar alguém que me entende é maravilhoso.; positive
Ele sempre fica flertando com outras pessoas.; negative
A felicidade transborda quando estamos perto um do outro.; positive
Ela sempre coloca suas necessidades antes das minhas.; negative
Nossas risadas e cumplicidade preenchem meu coração.; positive
Ele não demonstra afeto ou carinho por mim.; negative
Cada dia é uma nova aventura ao seu lado.; positive
Ela não compartilha nada sobre sua vida comigo.; negative
Sempre me sinto seguro e amado com você.; positive
Ele age como se eu não existisse quando estamos em público.; negative
Nosso romance é como um conto de fadas.; positive
Ela não respeita meus limites pessoais.; negative
Sua presença ilumina todos os lugares.; positive
Ele não se importa em conhecer meus amigos e família.; negative
O amor que temos é intenso e verdadeiro.; positive
Ela nunca está disponível quando tento marcar algo.; negative
Juntos, enfrentaremos todos os desafios que surgirem.; positive
Ele só pensa em si mesmo, não se importa com meu bem-estar.; negative
Somos a definição de um amor perfeito.; positive
Adorei a minha viagem para a praia; positive
Fiquei muito decepcionado com o serviço do hotel; negative
As férias foram incríveis!; positive
Não gostei do serviço de atendimento ao cliente da agência de turismo; negative
O destino escolhido para as férias era perfeito; positive
A comida no hotel era deliciosa; positive
O avião atrasou e atrapalhou todo o cronograma da viagem; negative
Os passeios na cidade foram maravilhosos; positive
Tive problemas com o cancelamento da reserva do hotel; negative
As paisagens durante a viagem eram de tirar o fôlego; positive
O voo foi cancelado e tive que esperar horas no aeroporto; negative
As férias foram inesquecíveis!; positive
O hotel não atendeu às minhas expectativas; negative
Conhecer novas culturas durante as viagens é enriquecedor; positive
O serviço de transporte no destino era péssimo; negative
As atrações turísticas da cidade eram incríveis; positive
Perdi meu voo de conexão e tive que remarcar tudo; negative
A pousada onde fiquei hospedado era encantadora; positive
O tempo estava péssimo durante toda a viagem; negative
O atendimento no restaurante do hotel era excelente; positive
Não consegui visitar todos os pontos turísticos que planejei; negative
A viagem superou todas as minhas expectativas; positive
O preço das passagens estava muito alto; negative
A cultura local do destino era fascinante; positive
O trânsito na cidade atrapalhou muito os passeios; negative
As praias do destino eram paradisíacas; positive
Fiquei doente durante as férias e tive que ficar no hotel; negative
O hotel tinha uma vista deslumbrante; positive
A hospedagem no resort foi incrível; positive
O museu que visitei no destino era desinteressante; negative
As fotos que tirei durante a viagem ficaram maravilhosas; positive
O passeio de barco foi cancelado devido ao mau tempo; negative
As férias foram relaxantes e revigorantes; positive
O guia turístico era muito desinformado; negative
O hotel tinha uma piscina incrível; positive
As filas nos pontos turísticos eram intermináveis; negative
Os restaurantes locais tinham pratos deliciosos; positive
O hotel não tinha as comodidades prometidas; negative
Aproveitei cada momento da minha viagem; positive
O transporte público era muito precário no destino; negative
A política é uma arte essencial para o desenvolvimento da sociedade.; positive
A história nos ensina lições valiosas que podemos aplicar no presente.; positive
O passado político do país deixou marcas profundas na sociedade.; negative
A história é uma fonte inesgotável de conhecimento e inspiração.; positive
A política é um campo complexo que exige dedicação e comprometimento.; positive
Os eventos históricos moldam nossa identidade e cultura.; positive
Alguns políticos agem de forma corrupta em benefício próprio.; negative
A história do Brasil é cheia de desafios e superações.; positive
É importante conhecer as políticas do partido antes de votar.; positive
Alguns momentos históricos são sombrios e tristes.; negative
A política tem o poder de transformar a realidade.; positive
A história é um registro valioso do passado da humanidade.; positive
Nem sempre os políticos cumprem suas promessas de campanha.; negative
A política é uma ferramenta para promover a igualdade social.; positive
A história mostra como as sociedades evoluíram ao longo do tempo.; positive
Existem líderes políticos que lutam pela justiça e igualdade.; positive
Algumas políticas governamentais podem ser prejudiciais para a população.; negative
A história é repleta de momentos marcantes que mudaram o rumo da humanidade.; positive
A corrupção política é um problema sério que precisa ser enfrentado.; negative
A política é fundamental para garantir os direitos individuais.; positive
O passado político influencia diretamente no presente.; positive
Devemos aprender com os erros cometidos na história.; positive
Alguns políticos são motivados pelo desejo de poder e status.; negative
A história é construída por pessoas que deixam sua marca no mundo.; positive
Nem todas as políticas adotadas são eficazes para resolver problemas sociais.; negative
O conhecimento histórico é crucial para evitar repetir os mesmos erros.; positive
Políticos corruptos afetam negativamente a confiança da população.; negative
A política é responsável por criar leis que regem a convivência em sociedade.; positive
A história nos mostra como a humanidade evoluiu cultural e tecnologicamente.; positive
Algumas políticas públicas são bem-sucedidas em diminuir a desigualdade social.; positive
Os regimes políticos totalitários têm um histórico de violação dos direitos humanos.; negative
A história é uma prova de que a mudança é inevitável.; positive
Nem todos os políticos estão comprometidos com o bem-estar da população.; negative
A política é a forma pela qual as decisões são tomadas em uma sociedade.; positive
A história nos revela os desafios enfrentados por nossos antepassados.; positive
Alguns políticos agem de forma ética e transparente.; positive
A política é o meio pelo qual as pessoas podem influenciar a sociedade.; positive
Houve momentos sombrios na história que devem ser lembrados para evitar repetição.; negative
Existem diferentes correntes políticas que representam diferentes ideais.; positive
A história está repleta de exemplos de lutas por liberdade e direitos.; positive
Nem todos os políticos estão comprometidos com a verdade.; negative
A política é uma ferramenta essencial para a resolução de conflitos.; positive
O estudo da história nos ajuda a entender o presente e planejar o futuro.; positive
A Revolução Francesa trouxe grandes avanços para a igualdade e liberdade.; positive
A Segunda Guerra Mundial foi um período de intensas destruições e perdas.; negative
A independência do Brasil marcou um momento importante na história do país.; positive
A ditadura militar no Brasil reprimiu os direitos humanos e causou sofrimento.; negative
A construção da Muralha da China demonstra o poderio da antiga civilização chinesa.; positive
O período da colonização europeia nas Américas resultou na exploração dos nativos.; negative
A descoberta do fogo foi um marco na história da humanidade, facilitando nosso desenvolvimento.; positive
A Guerra Fria trouxe tensões políticas e riscos de conflito nuclear entre Estados Unidos e União Soviética.; negative
A queda do Muro de Berlim simbolizou o colapso do regime comunista na Alemanha.; positive
A Inquisição causou perseguições e mortes de pessoas acusadas de heresia.; negative
O fim do Apartheid na África do Sul permitiu o combate à discriminação racial.; positive
O Holocausto foi um dos eventos mais trágicos da história, resultando na morte de milhões de judeus.; negative
O Movimento dos Direitos Civis nos Estados Unidos lutou pela igualdade de direitos entre negros e brancos.; positive
O genocídio em Ruanda resultou em uma grande perda de vidas humanas.; negative
O fim do regime de ditadura na Espanha possibilitou a transição para a democracia.; positive
A Revolução Industrial trouxe avanços tecnológicos, porém também condições de trabalho precárias.; negative
A expansão do Império Romano trouxe prosperidade, mas também conflitos.; negative
A Revolução Russa de 1917 resultou na instauração de um regime comunista.; positive
A Guerra do Vietnã causou um grande sofrimento e instabilidade na região.; negative
O movimento pelos direitos das mulheres no século XX impulsionou a igualdade de gênero.; positive
A bomba atômica em Hiroshima e Nagasaki resultou em um número alarmante de mortes.; negative
A independência dos Estados Unidos marcou um novo capítulo na história da democracia.; positive
A Inquisição Espanhola causou repressão e perseguição religiosa.; negative
A Revolução Industrial permitiu um avanço significativo na produção de bens de consumo.; positive
A primeira Guerra Mundial resultou em uma grande devastação e perda de vidas.; negative
A Declaração Universal dos Direitos Humanos trouxe importantes avanços na proteção dos direitos individuais.; positive
O período colonial na África trouxe exploração e dominação por parte das potências europeias.; negative
A descoberta da cura para a poliomielite representou um marco na medicina.; positive
A Revolução Cubana trouxe mudanças significativas para a ilha caribenha.; positive
As Cruzadas resultaram em conflitos e derramamento de sangue entre cristãos e muçulmanos.; negative
A Independência dos países africanos trouxe a esperança de um novo futuro livre da opressão colonial.; positive
A Revolução Cultural na China gerou repressão política e perseguições.; negative
A conquista da Lua pela Apollo 11 foi um momento memorável na exploração espacial.; positive
O regime de apartheid na África do Sul restringiu os direitos da maioria da população negra.; negative
A descoberta da penicilina por Alexander Fleming revolucionou a medicina moderna.; positive
A Revolução Mexicana levou à queda do regime ditatorial de Porfirio Diaz.; positive
O Brasil ganhou sua independência em 1822; positive
A ditadura militar brasileira durou mais de 20 anos; negative
A construção de Brasília foi um marco na história do país; positive
A Guerra do Paraguai foi um conflito sangrento para o Brasil; negative
A abolição da escravidão trouxe uma grande evolução social; positive
O impeachment de Dilma Rousseff foi um momento conturbado; negative
A assinatura da Lei Áurea foi um avanço importante; positive
A Guerra do Contestado causou muitas mortes e disputas de terras; negative
A Semana de Arte Moderna de 1922 revolucionou as artes no Brasil; positive
O massacre de Cunhaú e Uruaçu deixou um legado de violência religiosa; negative
A proclamação da República trouxe mudanças significativas; positive
A Inconfidência Mineira não conseguiu alcançar seus objetivos; negative
O Brasil se tornou campeão mundial de futebol em 1958; positive
A ditadura militar instaurada em 1964 reprimiu os direitos humanos; negative
A Independência do Brasil inspirou movimentos de libertação em outros países; positive
O incêndio do Museu Nacional foi uma perda cultural irreparável; negative
O surgimento do movimento tropicalista revolucionou a música brasileira; positive
A Revolução Constitucionalista de 1932 lutou pela democracia; positive
A Guerra dos Farrapos teve como consequência a separação do Rio Grande do Sul; negative
A criação do SUS trouxe maior acesso à saúde para a população; positive
A Revolta da Vacina gerou conflitos e descontentamento popular; negative
A conquista do tricampeonato mundial de futebol foi motivo de orgulho; positive
A crise econômica de 1929 afetou bastante o Brasil; negative
A criação da Eletrobras trouxe avanços na energia elétrica do país; positive
O Brasil sediou a Copa do Mundo de 2014 com sucesso; positive
A Ditadura do Estado Novo restringiu as liberdades individuais; negative
A queda do Império causou mudanças políticas profundas; positive
A Revolução de 1930 marcou o fim da República Velha; positive
O regime do AI-5 foi marcado por censura e violações de direitos; negative
A conquista do direito ao voto feminino foi uma vitória importante; positive
A crise do café afetou gravemente a economia brasileira; negative
A conquista da Copa América trouxe alegria aos torcedores; positive
As guerras indígenas no período colonial foram violentas; negative
A Constituição de 1988 trouxe garantias e direitos fundamentais; positive
O Golpe de 1964 interrompeu a democracia no país; negative
A Guerra do Paraguai fortaleceu o Exército Brasileiro; positive
A Ditadura Militar restringiu a liberdade de imprensa; negative
A conquista da primeira medalha de ouro olímpica foi emocionante; positive
A Invasão Holandesa no Nordeste causou muitos conflitos; negative
A assinatura do Tratado de Tordesilhas garantiu terras para Portugal; positive
A crise econômica mundial de 2008 afetou o Brasil; negative
A ciência é incrível e nos permite entender melhor o mundo ao nosso redor.; positive
A natureza é bela e cativante.; positive
Os cientistas trabalham incansavelmente para desvendar os mistérios da vida.; positive
A natureza nos proporciona momentos de paz e serenidade.; positive
Através da ciência, podemos encontrar soluções para os problemas mais complexos.; positive
A natureza é uma obra-prima que devemos proteger e preservar.; positive
É fascinante observar o ciclo da vida na natureza.; positive
A ciência contribui para o avanço da humanidade.; positive
Passar tempo ao ar livre é uma forma de recarregar as energias.; positive
A natureza nos presenteia com paisagens deslumbrantes.; positive
A ciência nos desafia a questionar o conhecimento estabelecido.; positive
A conexão com a natureza traz benefícios para o bem-estar emocional.; positive
A ciência é um caminho para descobertas revolucionárias.; positive
Observar a beleza da natureza nos faz apreciar as pequenas coisas da vida.; positive
A ciência tem o poder de transformar o mundo.; positive
A natureza é um lembrete de como somos todos parte de um todo maior.; positive
Os avanços científicos têm impacto direto na melhoria da qualidade de vida.; positive
A natureza nos ensina sobre resiliência e adaptação.; positive
A ciência nos ajuda a entender o funcionamento complexo do universo.; positive
A paz que encontramos na natureza é incomparável.; positive
A ciência nos permite explorar o desconhecido.; positive
A interação com a natureza traz benefícios para a saúde física e mental.; positive
A curiosidade científica impulsiona grandes descobertas.; positive
A natureza nos proporciona momentos de contemplação e reflexão.; positive
A ciência é um pilar fundamental para o progresso da sociedade.; positive
Preservar a natureza é fundamental para garantir o futuro das próximas gerações.; positive
A ciência abre portas para novas possibilidades.; positive
Explorar a natureza nos faz sentir vivos e conectados com o mundo.; positive
A ciência é uma busca constante por respostas.; positive
A natureza é uma fonte inesgotável de inspiração.; positive
Através da ciência, podemos entender melhor nosso papel no universo.; positive
A conexão com a natureza nos lembra da importância de respeitar o meio ambiente.; positive
A ciência é uma forma de desvendar os segredos da natureza.; positive
Valorizar a natureza é valorizar a vida.; positive
A ciência nos desafia a pensar além do que já conhecemos.; positive
A natureza é um tesouro que precisamos proteger.; positive
Contribuir para o avanço científico é contribuir para o progresso humano.; positive
A proximidade com a natureza nos ajuda a encontrar equilíbrio.; positive
A ciência nos permite fazer descobertas incríveis.; positive
A natureza é um lembrete constante de nossa interdependência.; positive
A natureza é ameaçadora e perigosa.; negative
A intervenção humana na natureza só traz destruição.; negative
A exploração da natureza é uma violação dos direitos dos animais.; negative
A natureza é imprevisível e cruel.; negative
Eu adorava sair com meus amigos todos os finais de semana!; positive
Eu me sentia perdido durante a adolescência.; negative
Conheci muitas pessoas interessantes na época da juventude.; positive
As mudanças hormonais faziam minha vida um verdadeiro caos.; negative
Participei de várias aventuras incríveis quando era jovem.; positive
A pressão para se encaixar nos padrões de beleza era constante.; negative
Fui muito feliz nos bailes da escola!; positive
O bullying que sofri na época do colégio me deixou marcado.; negative
As viagens com os amigos eram sempre uma animação.; positive
Eu me sentia muito inseguro com relação ao meu futuro.; negative
A juventude foi uma fase de descobertas e aprendizados.; positive
Tive que lidar com muitas cobranças dos meus pais.; negative
Construí amizades verdadeiras que até hoje perduram.; positive
A pressão acadêmica me causava muita ansiedade.; negative
Experimentei diversos hobbies e atividades interessantes.; positive
Lidava com uma autoestima muito baixa durante minha juventude.; negative
As festas de aniversário eram sempre motivo de alegria.; positive
Sentia muita insegurança ao me relacionar com outras pessoas.; negative
Guardo muitas lembranças boas dos acampamentos de verão.; positive
As incertezas sobre o futuro me mantinham noites sem dormir.; negative
Aproveitei a juventude para explorar diferentes culturas.; positive
As cobranças sociais me faziam sentir constantemente fora do lugar.; negative
Tive a oportunidade de fazer trabalho voluntário e ajudar pessoas.; positive
As dificuldades emocionais afetavam meu rendimento escolar.; negative
Construí minha identidade e descobri meus interesses.; positive
Algumas amizades tóxicas me prejudicaram durante a juventude.; negative
Vivi diversas aventuras que nunca vou esquecer.; positive
A pressão para definir minha carreira era muito estressante.; negative
